order_id,order_date,region,customer_segment,category,sub_category,ship_mode,quantity,unit_price,discount,sales,profit
ORD-1029,2024-04-14,South,Small Business,Toys,Puzzles,Standard,5,39.94,0.05,189.71,69.89
ORD-1030,2023-10-11,West,Corporate,Electronics,Phones,Standard,1,253.15,0.2,202.52,50.63
ORD-1031,2023-06-07,North,Small Business,Toys,Board Games,Express,5,28.76,0.15,122.23,35.95
ORD-1032,2024-05-11,East,Small Business,Toys,Puzzles,Standard,1,21.45,0.0,21.45,8.58
ORD-1033,2023-05-08,South,Small Business,Furniture,Chairs,Express,6,147.77,0.0,886.62,354.65
ORD-1034,2023-10-15,East,Consumer,Furniture,Sofas,Standard,2,204.29,0.1,367.72,122.57
ORD-1035,2024-02-12,South,Consumer,Toys,Dolls,Express,4,46.01,0.05,174.84,64.42
ORD-1036,2024-05-26,East,Consumer,Groceries,Dairy,Standard,3,23.5,0.05,66.97,24.67
ORD-1037,2024-07-28,South,Small Business,Toys,Board Games,Standard,2,23.92,0.1,43.06,14.36
ORD-1038,2023-02-23,North,Consumer,Clothing,Trousers,Express,4,46.59,0.1,167.72,55.9
ORD-1039,2023-12-16,West,Corporate,Clothing,Jackets,Same Day,4,24.75,0.1,89.1,29.7
ORD-1040,2024-10-20,East,Consumer,Electronics,Cameras,Express,6,195.05,0.1,1053.27,351.09
ORD-1041,2024-01-28,North,Consumer,Groceries,Snacks,Standard,2,12.4,0.0,24.8,9.92
ORD-1042,2023-04-28,North,Consumer,Electronics,Cameras,Same Day,6,278.3,0.1,1502.82,500.94
ORD-1043,2023-03-17,East,Corporate,Furniture,Beds,Standard,6,269.17,0.0,1615.02,646.01
ORD-1044,2023-02-16,South,Small Business,Electronics,Laptops,Standard,6,208.81,0.05,1190.22,438.5
ORD-1045,2023-01-23,South,Corporate,Furniture,Tables,Standard,7,239.23,0.0,1674.61,669.84
ORD-1046,2024-10-20,North,Consumer,Furniture,Beds,Express,2,210.66,0.0,421.32,168.53
ORD-1047,2023-06-09,West,Corporate,Clothing,Trousers,Standard,1,41.78,0.05,39.69,14.62
ORD-1048,2024-11-21,West,Consumer,Clothing,Shirts,Same Day,5,34.16,0.1,153.72,51.24
ORD-1049,2024-08-24,North,Consumer,Furniture,Sofas,Express,2,191.21,0.05,363.3,133.85
ORD-1050,2024-02-17,North,Small Business,Groceries,Snacks,Standard,3,22.55,0.2,54.12,13.53
ORD-1051,2024-07-01,East,Consumer,Furniture,Chairs,Express,5,78.78,0.0,393.9,157.56
ORD-1052,2024-11-25,North,Consumer,Toys,Puzzles,Standard,1,27.07,0.0,27.07,10.83
ORD-1053,2024-11-29,West,Consumer,Clothing,Shirts,Same Day,4,79.05,0.0,316.2,126.48
ORD-1054,2024-12-18,South,Corporate,Groceries,Dairy,Standard,3,10.47,0.0,31.41,12.56
ORD-1055,2024-07-18,North,Small Business,Electronics,Headphones,Same Day,6,158.94,0.05,905.96,333.78
ORD-1056,2023-05-13,North,Consumer,Clothing,Jackets,Standard,4,44.96,0.15,152.86,44.96
ORD-1057,2023-08-18,South,Consumer,Toys,Dolls,Express,2,24.93,0.0,49.86,19.94
ORD-1058,2023-06-14,West,Small Business,Clothing,Trousers,Express,5,43.48,0.1,195.66,65.22
ORD-1059,2023-03-11,East,Corporate,Groceries,Dairy,Standard,3,14.16,0.0,42.48,16.99
ORD-1060,2024-06-14,North,Consumer,Clothing,Shirts,Standard,7,50.22,0.05,333.96,123.04
ORD-1061,2023-01-01,West,Small Business,Clothing,Shirts,Standard,1,49.22,0.0,49.22,19.69
ORD-1062,2023-04-27,North,Small Business,Furniture,Beds,Standard,3,183.76,0.15,468.59,137.82
ORD-1063,2024-11-06,west,Consumer,Clothing,Jackets,Standard,1,51.8,0.1,46.62,15.54
ORD-1064,2024-02-19,South,Consumer,Electronics,Phones,Same Day,2,414.24,0.0,828.48,331.39
ORD-1065,2023-03-31,South,Consumer,Furniture,Beds,Standard,4,136.35,0.2,436.32,109.08
ORD-1066,2024-05-16,North,Consumer,Electronics,Phones,Express,3,201.53,0.1,544.13,181.38
ORD-1067,2024-08-16,North,Corporate,Clothing,Trousers,Standard,6,35.16,0.15,179.32,52.74
ORD-1068,2023-01-05,North,Consumer,Electronics,Laptops,Same Day,1,352.93,0.2,282.34,70.58
ORD-1069,2024-11-19,South,Consumer,Toys,Action Figures,Standard,5,23.9,0.0,119.5,47.8
ORD-1070,2024-06-01,North,Small Business,Groceries,Snacks,Same Day,5,21.82,0.1,98.19,32.73
ORD-1071,2023-03-24,South,Consumer,Electronics,Phones,Standard,5,273.43,0.05,1298.79,478.5
ORD-1072,2024-03-21,West,Corporate,Electronics,Phones,Standard,2,274.92,0.05,522.35,192.45
ORD-1073,2023-11-02,South,Small Business,Groceries,Snacks,Standard,3,11.63,0.05,33.15,12.22
ORD-1074,2024-09-15,South,Corporate,Toys,Action Figures,Standard,6,39.53,0.05,225.32,83.01
ORD-1075,2024-03-10,North,Consumer,Furniture,Beds,Express,4,85.03,0.0,340.12,136.05
ORD-1076,2023-04-16,North,Corporate,Clothing,Shirts,Standard,4,45.53,0.05,173.01,63.74
ORD-1077,2024-06-29,North,Consumer,Toys,Board Games,Standard,3,35.27,0.0,105.81,42.32
ORD-1078,2024-10-24,West,Corporate,Clothing,Shoes,Standard,3,48.97,0.05,139.56,51.41
ORD-1079,2024-11-02,South,Consumer,Furniture,Chairs,Express,2,164.3,0.0,328.6,131.44
ORD-1080,2024-06-17,North,Consumer,Toys,Board Games,Standard,2,19.03,0.1,34.25,11.41
ORD-1081,2023-05-01,West,Consumer,Clothing,Jackets,Standard,1,26.08,0.0,26.08,10.43
ORD-1082,2023-09-10,East,Consumer,Groceries,Dairy,Standard,2,8.18,0.1,14.72,4.9
ORD-1083,2024-06-09,East,Corporate,Clothing,Trousers,Express,6,56.4,0.1,304.56,101.52
ORD-1084,2024-05-22,South,Consumer,Toys,Board Games,Standard,4,32.64,0.0,130.56,52.22
ORD-1085,2023-09-30,West,Consumer,Furniture,Tables,Standard,1,153.61,0.1,138.25,46.08
ORD-1086,2023-03-08,South,Consumer,Electronics,Phones,Standard,1,364.23,0.05,346.02,127.48
ORD-1087,2024-07-07,South,Small Business,Electronics,Phones,Express,3,290.42,0.0,871.26,348.5
ORD-1088,2024-01-12,South,Consumer,Electronics,Phones,Standard,6,339.16,0.0,2034.96,813.98
ORD-1089,2024-08-29,East,Consumer,Electronics,Headphones,Standard,4,246.9,0.2,790.08,197.52
ORD-1090,2023-01-06,west,Small Business,Furniture,Beds,Standard,6,179.53,0.1,969.46,323.15
ORD-1091,2024-03-16,East,Consumer,Furniture,Sofas,Standard,4,204.38,0.0,817.52,327.01
ORD-1092,2024-02-14,West,Consumer,Groceries,Dairy,Standard,6,16.17,0.05,92.17,33.96
ORD-1093,2023-05-19,East,Consumer,Groceries,Snacks,Standard,2,10.93,0.05,20.77,7.65
ORD-1094,2024-10-11,North,Corporate,Groceries,Beverages,Standard,6,14.68,0.05,83.68,30.83
ORD-1095,2024-08-28,South,Corporate,Electronics,Phones,Standard,5,173.21,0.1,779.44,259.81
ORD-1096,2023-05-17,East,Consumer,Furniture,Beds,Express,3,243.06,0.1,656.26,218.75
ORD-1097,2023-09-27,East,Consumer,Groceries,Beverages,Express,3,16.14,0.05,46.0,16.95
ORD-1098,2024-07-27,North,Consumer,Groceries,Snacks,,3,22.98,0.05,65.49,24.13
ORD-1099,2023-01-23,North,Small Business,Electronics,Phones,Standard,6,220.12,0.0,1320.72,528.29
ORD-1100,2023-04-14,East,Consumer,Clothing,Jackets,Standard,4,50.99,0.1,183.56,61.18
ORD-1101,2024-10-30,South,Small Business,Electronics,Cameras,Express,6,331.78,0.1,1791.61,597.2
ORD-1102,2024-02-15,West,Consumer,Electronics,Laptops,Express,6,223.94,0.05,1276.46,470.28
ORD-1103,2023-08-16,West,Consumer,Toys,Dolls,Express,5,37.46,0.05,177.94,65.56
ORD-1104,2023-11-20,South,Consumer,Groceries,Snacks,Standard,3,22.68,0.0,68.04,27.22
ORD-1105,2023-01-11,South,Consumer,Furniture,Beds,Standard,2,207.92,0.15,353.46,103.96
ORD-1106,2024-01-31,West,Consumer,Furniture,Chairs,Express,4,185.91,0.1,669.28,223.1
ORD-1107,2023-05-07,West,Consumer,Furniture,Chairs,Standard,3,219.19,0.1,591.81,197.27
ORD-1108,2023-10-23,East,Consumer,Electronics,Laptops,,7,254.18,0.0,1779.26,711.7
ORD-1109,2023-11-05,West,Corporate,Electronics,Laptops,Express,3,332.06,0.0,996.18,398.47
ORD-1110,2024-06-20,South,Consumer,Furniture,Sofas,Standard,3,161.87,0.0,485.61,194.24
ORD-1111,2023-06-28,West,Consumer,Electronics,Headphones,Same Day,1,375.18,0.1,337.66,112.55
ORD-1112,2024-10-23,South,Corporate,Furniture,Beds,Standard,5,136.85,0.0,684.25,273.7
ORD-1113,2023-11-23,North,Consumer,Electronics,Cameras,Standard,3,237.66,0.0,712.98,285.19
ORD-1114,2024-10-31,North,Consumer,Toys,Action Figures,,3,15.14,0.05,43.15,15.9
ORD-1115,2023-07-13,South,Consumer,Groceries,Snacks,Express,4,18.15,0.0,72.6,29.04
ORD-1116,2023-02-24,South,Consumer,Clothing,Trousers,Express,4,35.66,0.1,128.38,42.8
ORD-1117,2024-01-26,North,Consumer,Toys,Dolls,Standard,7,29.37,0.1,185.03,61.68
ORD-1118,2023-11-24,North,Consumer,Electronics,Headphones,Express,6,223.7,0.05,1275.09,469.77
ORD-1119,2024-05-05,North,Consumer,Groceries,Bakery,Standard,7,13.97,0.15,83.12,24.45
ORD-1120,2023-01-07,North,Consumer,Furniture,Sofas,Standard,4,197.61,0.1,711.4,237.14
ORD-1121,2024-12-09,South,Corporate,Groceries,Dairy,Standard,7,9.37,0.0,65.59,26.24
ORD-1122,2023-09-18,West,Consumer,Toys,Board Games,Standard,6,31.9,0.1,172.26,57.42
ORD-1123,2024-08-15,West,Small Business,Furniture,Tables,Standard,1,174.78,0.05,166.04,61.17
ORD-1124,2023-07-28,South,Corporate,Electronics,Cameras,Standard,4,262.81,0.0,1051.24,420.5
ORD-1125,2023-01-29,East,Corporate,Toys,Board Games,Express,5,28.34,0.1,127.53,42.51
ORD-1126,2023-02-10,North,Corporate,Furniture,Chairs,Express,4,193.83,0.05,736.55,271.36
ORD-1127,2024-03-30,North,Consumer,Furniture,Chairs,Standard,2,233.07,0.05,442.83,163.15
ORD-1128,2023-05-10,East,Consumer,Groceries,Beverages,Standard,4,13.99,0.1,50.36,16.78
ORD-1129,2023-08-15,East,Small Business,Furniture,Sofas,Standard,1,245.21,0.0,245.21,98.08
ORD-1130,2023-05-28,West,Consumer,Clothing,Jackets,Standard,2,19.73,0.05,37.49,13.81
ORD-1131,2023-03-14,North,Consumer,Electronics,Cameras,Express,2,324.03,0.05,615.66,226.82
ORD-1132,2023-05-11,West,Corporate,Furniture,Chairs,Standard,4,84.81,0.1,305.32,101.78
ORD-1133,2023-01-17,East,Consumer,Furniture,Chairs,Standard,3,241.78,0.1,652.81,217.61
ORD-1134,2024-10-22,North,Corporate,Electronics,Headphones,,7,244.74,0.1,1541.86,513.95
ORD-1135,2024-05-03,East,Consumer,Toys,Board Games,Standard,1,15.05,0.0,15.05,6.02
ORD-1136,2023-03-27,South,Consumer,Furniture,Sofas,Express,3,169.59,0.15,432.45,127.19
ORD-1137,2024-08-16,East,Consumer,Groceries,Dairy,Express,1,14.31,0.1,12.88,4.29
ORD-1138,2023-06-01,West,Consumer,Clothing,Trousers,Express,7,9.65,0.0,67.55,27.02
ORD-1139,2024-06-10,North,Corporate,Electronics,Cameras,Express,1,347.36,0.15,295.26,86.84
ORD-1140,2024-03-01,South,Consumer,Groceries,Beverages,Express,3,18.21,0.0,54.63,21.85
ORD-1141,2023-01-29,South,Consumer,Electronics,Phones,Express,4,253.53,0.2,811.3,202.83
ORD-1142,2023-09-23,East,Consumer,Electronics,Headphones,Express,6,249.34,0.15,1271.63,374.01
ORD-1143,2023-05-26,West,Consumer,Toys,Action Figures,Same Day,1,28.79,0.0,28.79,11.52
ORD-1144,2023-12-10,East,Small Business,Groceries,Bakery,Express,7,14.25,0.15,84.79,24.94
ORD-1145,2023-01-11,North,Corporate,Toys,Board Games,Standard,4,22.57,0.1,81.25,27.08
ORD-1146,2023-11-06,North,Consumer,Toys,Puzzles,Standard,2,26.26,0.1,47.27,15.76
ORD-1147,2024-05-31,East,Consumer,Toys,Board Games,Standard,4,29.06,0.2,92.99,23.25
ORD-1148,2024-07-26,East,Corporate,Clothing,Shoes,Express,6,44.12,0.05,251.48,92.65
ORD-1149,2023-03-30,South,Small Business,Electronics,Cameras,Standard,3,221.76,0.0,665.28,266.11
ORD-1150,2024-06-24,North,Small Business,Electronics,Headphones,Standard,3,288.01,0.0,864.03,345.61
ORD-1151,2023-05-04,West,Consumer,Clothing,Shirts,Standard,4,37.59,0.0,150.36,60.14
ORD-1152,2024-08-15,North,Consumer,Furniture,Beds,Standard,2,153.57,0.05,291.78,107.5
ORD-1153,2023-10-16,West,Consumer,Clothing,Trousers,Standard,1,52.53,0.0,52.53,21.01
ORD-1154,2024-07-10,South,Consumer,Electronics,Phones,Express,5,264.61,0.15,1124.59,330.76
ORD-1155,2023-01-31,West,Consumer,Furniture,Tables,Express,7,171.43,0.0,1200.01,480.0
ORD-1156,2023-09-15,West,Consumer,Toys,Action Figures,Standard,1,31.72,0.0,31.72,12.69
ORD-1157,2024-11-30,West,Consumer,Toys,Puzzles,Express,2,30.42,0.05,57.8,21.3
ORD-1158,2024-02-16,South,Corporate,Groceries,Dairy,Express,4,17.33,0.0,69.32,27.73
ORD-1159,2023-01-17,North,Consumer,Groceries,Beverages,Standard,2,12.19,0.0,24.38,9.75
ORD-1160,2023-07-29,West,Corporate,Furniture,Tables,Standard,4,239.6,0.0,958.4,383.36
ORD-1161,2023-02-02,South,Consumer,Clothing,Jackets,Standard,2,60.7,0.2,97.12,24.28
ORD-1162,2023-04-09,East,Consumer,Toys,Action Figures,Express,7,37.51,0.1,236.31,78.77
ORD-1163,2023-01-22,East,Small Business,Clothing,Jackets,Standard,4,34.06,0.1,122.62,40.88
ORD-1164,2023-10-30,West,Consumer,Toys,Puzzles,Standard,4,29.59,0.1,106.52,35.5
ORD-1165,2023-06-11,West,Small Business,Toys,Puzzles,Express,2,32.19,0.15,54.72,16.09
ORD-1166,2023-07-27,West,Consumer,Clothing,Trousers,Express,6,48.49,0.05,276.39,101.83
ORD-1167,2023-07-18,West,Consumer,Clothing,Shirts,Same Day,2,48.67,0.05,92.47,34.07
ORD-1168,2024-07-11,South,Consumer,Electronics,Laptops,Express,1,277.41,0.0,277.41,110.96
ORD-1169,2024-12-26,South,Corporate,Toys,Action Figures,Standard,5,15.78,0.0,78.9,31.56
ORD-1170,2023-10-01,East,Corporate,Furniture,Tables,Standard,6,222.43,0.15,1134.39,333.64
ORD-1171,2023-08-02,North,Consumer,Clothing,Trousers,Same Day,7,45.11,0.05,299.98,110.52
ORD-1172,2023-03-27,North,Consumer,Groceries,Bakery,Standard,1,15.94,0.15,13.55,3.99
ORD-1173,2024-08-11,South,Consumer,Groceries,Beverages,Same Day,2,5.81,0.1,10.46,3.49
ORD-1174,2023-05-23,East,Corporate,Furniture,Tables,Same Day,7,271.89,0.05,1808.07,666.13
ORD-1175,2024-01-05,West,Corporate,Groceries,Bakery,Express,6,21.22,0.05,120.95,44.56
ORD-1176,2024-01-18,West,Consumer,Clothing,Trousers,Express,1,64.9,0.0,64.9,25.96
ORD-1177,2023-01-14,South,Consumer,Clothing,Shoes,Express,1,31.73,0.15,26.97,7.93
ORD-1178,2023-05-02,South,Consumer,Clothing,Jackets,Standard,3,47.42,0.0,142.26,56.9
ORD-1179,2024-12-23,West,Small Business,Toys,Dolls,Express,2,40.16,0.05,76.3,28.11
ORD-1180,2024-03-20,East,Consumer,Toys,Board Games,Express,5,40.18,0.0,200.9,80.36
ORD-1181,2023-12-30,West,Consumer,Groceries,Bakery,Standard,1,13.76,0.05,13.07,4.81
ORD-1182,2023-04-27,West,Small Business,Furniture,Beds,Same Day,3,91.82,0.0,275.46,110.18
ORD-1183,2024-09-28,North,Consumer,Groceries,Dairy,Express,1,12.42,0.0,12.42,4.97
ORD-1184,2024-06-03,South,Consumer,Groceries,Bakery,Standard,6,14.89,0.0,89.34,35.74
ORD-1185,2024-01-16,South,Consumer,Electronics,Cameras,Express,1,337.95,0.2,270.36,67.59
ORD-1186,2023-03-07,North,Consumer,Clothing,Shirts,,3,21.33,0.05,60.79,22.4
ORD-1187,2024-08-14,South,Corporate,Furniture,Chairs,Standard,5,165.29,0.0,826.45,330.58
ORD-1188,2024-11-13,North,Consumer,Groceries,Snacks,Standard,1,13.55,0.1,12.2,4.07
ORD-1189,2023-06-05,North,Consumer,Groceries,Dairy,Same Day,1,24.35,0.05,23.13,8.52
ORD-1190,2023-01-20,North,Consumer,Furniture,Chairs,Standard,1,169.74,0.05,161.25,59.41
ORD-1191,2023-01-12,North,Consumer,Furniture,Beds,Express,6,204.21,0.2,980.21,245.05
ORD-1192,2023-11-02,East,Consumer,Toys,Action Figures,Standard,4,48.8,0.0,195.2,78.08
ORD-1193,2024-09-29,West,Small Business,Toys,Dolls,Express,2,28.74,0.0,57.48,22.99
ORD-1194,2024-10-30,South,Consumer,Toys,Puzzles,Express,6,29.54,0.05,168.38,62.04
ORD-1195,2023-05-25,East,Consumer,Furniture,Beds,Standard,1,190.62,0.1,171.56,57.19
ORD-1196,2023-01-01,West,Corporate,Clothing,Jackets,Express,2,17.79,0.2,28.46,7.11
ORD-1197,2024-07-28,North,Small Business,Electronics,Phones,Express,5,320.76,0.05,1523.61,561.33
ORD-1198,2024-05-03,South,Consumer,Clothing,Trousers,Standard,2,52.56,0.15,89.35,26.28
ORD-1199,2023-10-06,East,Consumer,Clothing,Shirts,Standard,7,46.84,0.0,327.88,131.15
ORD-1200,2024-10-16,South,Consumer,Electronics,Cameras,Express,1,175.65,0.05,166.87,61.48
ORD-1201,2023-10-18,South,Consumer,Groceries,Beverages,Standard,6,5.31,0.05,30.27,11.15
ORD-1202,2023-01-03,West,Consumer,Toys,Board Games,Standard,5,17.49,0.0,87.45,34.98
ORD-1203,2023-02-12,East,Consumer,Furniture,Beds,Express,3,91.15,0.0,273.45,109.38
ORD-1204,2023-04-27,North,Corporate,Groceries,Dairy,Standard,3,14.56,0.0,43.68,17.47
ORD-1205,2024-01-08,East,Small Business,Groceries,Beverages,Standard,2,8.66,0.05,16.45,6.06
ORD-1206,2024-10-19,North,Consumer,Furniture,Chairs,Standard,2,209.7,0.1,377.46,125.82
ORD-1207,2023-06-08,North,Consumer,Electronics,Laptops,Same Day,4,177.37,0.0,709.48,283.79
ORD-1208,2024-01-20,North,Corporate,Groceries,Bakery,Same Day,6,20.43,0.05,116.45,42.9
ORD-1209,2023-01-26,South,Consumer,Electronics,Headphones,Standard,2,278.8,0.15,473.96,139.4
ORD-1210,2024-12-20,East,Corporate,Electronics,Laptops,Standard,2,227.88,0.1,410.18,136.72
ORD-1211,2024-11-06,East,Consumer,Furniture,Chairs,Standard,3,247.38,0.15,630.82,185.54
ORD-1212,2024-11-03,South,Consumer,Toys,Action Figures,Express,2,38.67,0.0,77.34,30.94
ORD-1213,2023-03-18,South,Consumer,Toys,Action Figures,Standard,7,49.89,0.1,314.31,104.77
ORD-1214,2024-07-07,North,Corporate,Toys,Puzzles,Same Day,7,35.12,0.1,221.26,73.76
ORD-1215,2023-02-05,West,Consumer,Toys,Action Figures,Standard,3,44.66,0.0,133.98,53.59
ORD-1216,2024-12-08,West,Consumer,Toys,Action Figures,Express,6,32.1,0.05,182.97,67.41
ORD-1217,2023-03-08,South,Consumer,Groceries,Snacks,Express,7,8.0,0.0,56.0,22.4
ORD-1218,2024-09-05,South,Consumer,Electronics,Headphones,Standard,5,188.13,0.0,940.65,376.26
ORD-1219,2023-10-14,West,Consumer,Electronics,Headphones,Standard,7,262.11,0.1,1651.29,550.43
ORD-1220,2024-10-18,West,Consumer,Groceries,Bakery,Standard,6,11.61,0.05,66.18,24.38
ORD-1221,2024-02-10,East,Small Business,Furniture,Beds,Express,4,222.62,0.1,801.43,267.14
ORD-1222,2024-05-23,East,Consumer,Groceries,Snacks,Standard,4,6.74,0.0,26.96,10.78
ORD-1223,2024-10-27,East,Consumer,Groceries,Beverages,Express,7,17.29,0.2,96.82,24.2
ORD-1224,2023-04-11,West,Small Business,Groceries,Beverages,Standard,2,13.03,0.15,22.15,6.51
ORD-1225,2023-05-14,East,Consumer,Clothing,Trousers,Standard,5,54.0,0.0,270.0,108.0
ORD-1226,2023-05-10,South,Small Business,Clothing,Shoes,Express,6,37.3,0.0,223.8,89.52
ORD-1227,2023-04-05,West,Corporate,Electronics,Laptops,Standard,3,264.82,0.2,635.57,158.89
ORD-1228,2023-01-25,South,Consumer,Toys,Action Figures,Standard,4,34.57,0.0,138.28,55.31
ORD-1229,2024-06-15,West,Small Business,Furniture,Chairs,Standard,3,182.92,0.05,521.32,192.06
ORD-1230,2023-03-01,East,Consumer,Clothing,Jackets,Standard,2,39.05,0.0,78.1,31.24
ORD-1231,2023-02-25,East,Consumer,Electronics,Headphones,Standard,4,138.98,0.0,555.92,222.37
ORD-1232,2023-09-20,West,Corporate,Groceries,Snacks,Standard,5,11.7,0.05,55.58,20.48
ORD-1233,2023-05-04,North,Small Business,Furniture,Sofas,Standard,5,142.11,0.0,710.55,284.22
ORD-1234,2023-06-04,South,Consumer,Groceries,Beverages,Standard,6,13.95,0.0,83.7,33.48
ORD-1235,2024-10-11,East,Corporate,Furniture,Beds,Standard,2,123.49,0.0,246.98,98.79
ORD-1236,2023-08-01,North,Small Business,Toys,Board Games,Standard,7,31.08,0.05,206.68,76.14
ORD-1237,2023-07-02,south,Consumer,Toys,Board Games,Standard,4,21.24,0.1,76.46,25.48
ORD-1238,2023-08-15,West,Small Business,Electronics,Phones,Standard,1,271.86,0.1,244.67,81.55
ORD-1239,2024-07-25,South,Small Business,Toys,Action Figures,Standard,5,23.42,0.1,105.39,35.13
ORD-1240,2024-12-26,North,Consumer,Electronics,Headphones,Standard,1,284.5,0.05,270.27,99.57
ORD-1241,2023-01-08,North,Corporate,Toys,Dolls,Express,3,23.9,0.0,71.7,28.68
ORD-1242,2024-10-25,West,Corporate,Electronics,Phones,Standard,7,176.43,0.15,1049.76,308.75
ORD-1243,2024-05-13,East,Consumer,Groceries,Dairy,Standard,6,9.02,0.1,48.71,16.24
ORD-1244,2023-11-16,East,Consumer,Furniture,Tables,Same Day,1,233.79,0.2,187.03,46.76
ORD-1245,2024-04-07,North,Consumer,Furniture,Sofas,Standard,1,139.13,0.05,132.17,48.69
ORD-1246,2024-01-13,North,Consumer,Furniture,Tables,Standard,7,178.01,0.05,1183.77,436.13
ORD-1247,2023-10-15,East,Consumer,Groceries,Beverages,Standard,2,10.43,0.0,20.86,8.34
ORD-1248,2024-10-26,West,Consumer,Clothing,Shoes,Standard,4,43.78,0.0,175.12,70.05
ORD-1249,2024-11-16,North,Consumer,Electronics,Cameras,Express,7,237.52,0.15,1413.24,415.66
ORD-1250,2023-08-21,North,Consumer,Furniture,Chairs,Same Day,7,200.11,0.1,1260.69,420.23
ORD-1251,2023-07-22,South,Consumer,Clothing,Shirts,Express,2,59.19,0.0,118.38,47.35
ORD-1252,2024-04-07,South,Consumer,Groceries,Dairy,Standard,3,17.22,0.1,46.49,15.49
ORD-1253,2023-12-19,South,Consumer,Clothing,Jackets,Express,7,48.68,0.05,323.72,119.26
ORD-1254,2023-10-08,West,Consumer,Toys,Puzzles,Standard,1,37.46,0.0,37.46,14.98
ORD-1255,2024-04-27,East,Consumer,Furniture,Tables,Express,6,129.96,0.05,740.77,272.91
ORD-1256,2023-03-07,North,Consumer,Electronics,Cameras,Standard,4,267.32,0.1,962.35,320.78
ORD-1257,2023-01-14,North,Consumer,Electronics,Laptops,Standard,3,267.73,0.1,722.87,240.96
ORD-1258,2023-03-11,South,Consumer,Clothing,Shirts,Standard,3,47.07,0.0,141.21,56.48
ORD-1259,2024-04-13,South,Consumer,Toys,Board Games,Standard,5,33.05,0.0,165.25,66.1
ORD-1260,2023-04-29,South,Corporate,Groceries,Snacks,Standard,6,18.3,0.05,104.31,38.43
ORD-1261,2024-10-31,East,Consumer,Furniture,Sofas,Standard,7,126.36,0.0,884.52,353.81
ORD-1262,2024-02-10,South,Small Business,Toys,Dolls,Standard,5,30.73,0.0,153.65,61.46
ORD-1263,2023-07-02,North,Consumer,Electronics,Headphones,Standard,3,347.99,0.1,939.57,313.19
